               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057876,            0.024469,            0.067959,            0.011271,             0.90834,            0.053711,            0.028748,            0.023843,            0.008037,            0.045748,            0.070201,            0.003311,            0.003311
                   1,            0.036171,            0.018619,            0.061945,            0.017043,             0.93926,            0.059115,            0.035726,            0.017413,           0.0057866,            0.043555,            0.040195,           0.0066377,           0.0066377
                   2,            0.037063,            0.017558,            0.063956,           0.0032663,             0.70014,            0.037283,            0.017717,            0.031497,           0.0087148,            0.043678,            0.010182,           0.0099579,           0.0099579
                   3,            0.035335,            0.017926,            0.062405,             0.15887,            0.091102,            0.074389,            0.037954,             0.02082,           0.0057464,            0.041644,           0.0099703,           0.0099703,           0.0099703
                   4,            0.032621,            0.016447,            0.060955,             0.48632,             0.10859,              0.1182,            0.068816,            0.016445,           0.0053325,            0.039999,           0.0099703,           0.0099703,           0.0099703
                   5,            0.028902,            0.015093,            0.057793,             0.36647,             0.29323,             0.18678,             0.11627,            0.015151,           0.0040933,             0.03778,           0.0099604,           0.0099604,           0.0099604
                   6,            0.026131,             0.01419,            0.055388,             0.34781,              0.3764,             0.20624,             0.13538,            0.015146,           0.0045336,            0.037575,           0.0099505,           0.0099505,           0.0099505
                   7,            0.026966,            0.013961,            0.056188,             0.33455,             0.47607,             0.24803,             0.16773,            0.011859,           0.0038007,            0.035311,           0.0099406,           0.0099406,           0.0099406
                   8,            0.027228,            0.014212,             0.05498,             0.32449,             0.37529,             0.21585,             0.13784,            0.016071,           0.0043429,            0.034254,           0.0099307,           0.0099307,           0.0099307
                   9,             0.02643,            0.014116,             0.05394,             0.29671,             0.50776,             0.32169,             0.21906,             0.01282,            0.003778,            0.032473,           0.0099208,           0.0099208,           0.0099208
                  10,            0.025834,            0.013312,            0.052829,             0.27837,             0.55243,              0.3327,             0.21239,            0.014412,           0.0040599,            0.030698,           0.0099109,           0.0099109,           0.0099109
                  11,            0.023271,            0.013094,            0.048464,             0.36804,             0.46892,             0.40506,               0.279,            0.012749,           0.0034815,            0.029515,            0.009901,            0.009901,            0.009901
                  12,             0.02495,            0.013548,            0.050494,             0.36856,             0.64639,             0.42363,              0.2762,            0.013308,           0.0035629,            0.029013,           0.0098911,           0.0098911,           0.0098911
                  13,            0.025531,            0.013298,            0.050108,             0.27239,             0.58732,             0.39551,              0.2611,            0.017066,           0.0044018,            0.030111,           0.0098812,           0.0098812,           0.0098812
                  14,            0.024885,            0.013367,            0.048669,             0.33457,             0.58723,             0.47653,             0.33359,            0.012558,           0.0035049,            0.026165,           0.0098713,           0.0098713,           0.0098713
                  15,            0.025749,            0.013032,            0.048692,             0.39227,             0.66312,             0.53371,             0.36773,            0.012787,           0.0037325,             0.02404,           0.0098614,           0.0098614,           0.0098614
                  16,            0.024533,             0.01281,            0.046025,             0.40063,             0.63428,             0.56382,             0.37478,            0.013095,           0.0037587,            0.023194,           0.0098515,           0.0098515,           0.0098515
                  17,            0.025691,            0.012838,            0.045266,             0.47196,             0.61673,             0.61124,             0.42405,            0.012508,           0.0034734,            0.022884,           0.0098416,           0.0098416,           0.0098416
                  18,            0.022862,            0.012752,            0.043282,              0.5035,             0.70701,             0.63406,             0.43617,            0.011624,           0.0033676,            0.021524,           0.0098317,           0.0098317,           0.0098317
                  19,            0.023493,            0.012648,            0.043575,             0.55009,             0.70901,             0.68845,             0.50796,            0.011981,           0.0033246,            0.019872,           0.0098218,           0.0098218,           0.0098218
                  20,            0.023936,            0.012537,            0.041189,             0.57134,             0.73849,              0.7139,             0.52605,            0.012879,           0.0033656,            0.017974,           0.0098119,           0.0098119,           0.0098119
                  21,            0.023586,             0.01214,            0.041811,             0.57377,             0.71802,             0.73265,             0.52918,            0.013237,           0.0033188,             0.01775,            0.009802,            0.009802,            0.009802
                  22,            0.023848,            0.012601,            0.039993,             0.63407,             0.71669,             0.73768,             0.52685,            0.011964,           0.0034228,            0.019649,           0.0097921,           0.0097921,           0.0097921
                  23,             0.02362,            0.012155,            0.038632,             0.59258,             0.70828,             0.73276,             0.51748,            0.011506,           0.0034804,            0.017797,           0.0097822,           0.0097822,           0.0097822
                  24,            0.024473,            0.012333,            0.039775,             0.76914,             0.71251,             0.81413,             0.57414,            0.013638,           0.0032965,             0.01401,           0.0097723,           0.0097723,           0.0097723
                  25,            0.024094,            0.012318,            0.041312,             0.77423,             0.68818,             0.77889,             0.54855,            0.011642,           0.0037878,            0.016134,           0.0097624,           0.0097624,           0.0097624
                  26,            0.023758,            0.012464,             0.03999,             0.68593,             0.78276,             0.82574,             0.59295,            0.012749,           0.0031654,            0.012926,           0.0097525,           0.0097525,           0.0097525
                  27,            0.023384,            0.012222,            0.038718,             0.73612,             0.80329,             0.84023,             0.58369,            0.012211,           0.0034409,            0.012592,           0.0097426,           0.0097426,           0.0097426
                  28,            0.023306,            0.012171,             0.03472,             0.79768,             0.77445,             0.84929,             0.60704,            0.011781,           0.0033109,            0.013064,           0.0097327,           0.0097327,           0.0097327
                  29,            0.023453,            0.012008,            0.035578,             0.78039,             0.75118,             0.83592,             0.61813,            0.012344,           0.0031945,            0.011722,           0.0097228,           0.0097228,           0.0097228
                  30,            0.022537,            0.012039,            0.035148,             0.74775,             0.77701,             0.83812,             0.61911,            0.011541,           0.0033621,             0.01077,           0.0097129,           0.0097129,           0.0097129
                  31,            0.022348,            0.011902,            0.034661,             0.80628,             0.86217,              0.8955,             0.67349,            0.011244,           0.0032474,           0.0098297,            0.009703,            0.009703,            0.009703
                  32,            0.022651,            0.011974,            0.034644,             0.84036,             0.83785,             0.88747,             0.67585,            0.010638,            0.003141,           0.0095436,           0.0096931,           0.0096931,           0.0096931
                  33,            0.022393,             0.01179,            0.033208,             0.75464,             0.83913,              0.8734,             0.63355,            0.011385,           0.0032523,            0.010283,           0.0096832,           0.0096832,           0.0096832
                  34,             0.02412,            0.012254,            0.035481,             0.78582,             0.81835,             0.85677,             0.63322,            0.012399,           0.0032638,            0.010454,           0.0096733,           0.0096733,           0.0096733
                  35,            0.022229,            0.012158,            0.032043,             0.83204,             0.83202,             0.89142,             0.65561,             0.01163,           0.0031623,            0.008002,           0.0096634,           0.0096634,           0.0096634
                  36,            0.023449,            0.012084,            0.034475,             0.81913,             0.64998,             0.76114,             0.49975,            0.016739,           0.0042548,            0.015569,           0.0096535,           0.0096535,           0.0096535
                  37,             0.02423,            0.012282,            0.034995,             0.69641,             0.68191,             0.73098,             0.52982,            0.012989,           0.0041534,             0.01718,           0.0096436,           0.0096436,           0.0096436
                  38,            0.023723,            0.012499,            0.036327,             0.76578,               0.769,             0.81659,             0.56146,             0.01395,           0.0035825,            0.012804,           0.0096337,           0.0096337,           0.0096337
                  39,            0.023759,            0.012523,            0.033455,             0.81974,             0.85019,             0.90589,             0.67769,            0.012261,           0.0031734,           0.0086613,           0.0096238,           0.0096238,           0.0096238
                  40,            0.023196,            0.012068,            0.034262,             0.85137,             0.87747,             0.91736,             0.68144,             0.01182,           0.0033277,           0.0081953,           0.0096139,           0.0096139,           0.0096139
                  41,            0.022841,            0.011857,            0.030951,             0.85344,             0.84298,             0.90505,             0.64241,            0.011848,            0.003312,            0.008639,            0.009604,            0.009604,            0.009604
                  42,            0.022803,            0.011852,            0.032063,             0.86341,             0.86931,              0.9208,             0.68886,            0.011359,           0.0031929,           0.0074165,           0.0095941,           0.0095941,           0.0095941
                  43,            0.023693,            0.011645,            0.033556,              0.8496,             0.87501,             0.92473,              0.7086,            0.011573,           0.0030713,           0.0073893,           0.0095842,           0.0095842,           0.0095842
                  44,            0.022883,            0.011644,            0.030719,             0.87134,             0.90592,             0.93929,             0.70881,             0.01034,           0.0031028,           0.0064271,           0.0095743,           0.0095743,           0.0095743
                  45,            0.022189,            0.011688,            0.031032,             0.83388,             0.88506,             0.92053,             0.66082,              0.0122,           0.0032077,           0.0068362,           0.0095644,           0.0095644,           0.0095644
                  46,            0.022995,            0.011826,            0.031442,             0.88925,             0.89491,             0.93586,             0.70383,            0.011183,           0.0031694,           0.0061417,           0.0095545,           0.0095545,           0.0095545
                  47,            0.023794,            0.011806,            0.029833,             0.89193,             0.88401,             0.93437,             0.72074,            0.011034,           0.0032041,           0.0054127,           0.0095446,           0.0095446,           0.0095446
                  48,             0.02107,             0.01155,            0.026645,              0.8691,             0.90572,             0.93685,             0.71479,            0.011099,           0.0030453,           0.0062045,           0.0095347,           0.0095347,           0.0095347
                  49,            0.024157,            0.011949,            0.030486,             0.88666,             0.91192,             0.94614,             0.71076,            0.010516,           0.0030931,           0.0051183,           0.0095248,           0.0095248,           0.0095248
                  50,            0.023737,            0.011896,            0.030991,              0.8773,             0.88414,             0.93346,             0.71222,            0.010778,           0.0031356,           0.0057039,           0.0095149,           0.0095149,           0.0095149
                  51,              0.0222,            0.011694,             0.02934,             0.88265,             0.90492,             0.93673,             0.70927,            0.011109,           0.0030605,           0.0053754,            0.009505,            0.009505,            0.009505
                  52,            0.022054,            0.011341,            0.029175,             0.89196,             0.94309,             0.95353,             0.72181,            0.011031,           0.0030195,           0.0043399,           0.0094951,           0.0094951,           0.0094951
                  53,            0.022382,            0.011363,            0.028936,             0.88029,             0.92054,             0.94462,             0.72876,            0.010732,           0.0030126,           0.0047131,           0.0094852,           0.0094852,           0.0094852
                  54,            0.021161,            0.011209,            0.027778,             0.89755,              0.9164,             0.94237,             0.72041,            0.010314,           0.0030068,           0.0046491,           0.0094753,           0.0094753,           0.0094753
                  55,            0.021707,            0.011463,            0.027077,              0.9088,             0.92365,             0.94808,             0.73271,            0.010592,           0.0030802,           0.0045583,           0.0094654,           0.0094654,           0.0094654
                  56,            0.022188,            0.011486,            0.025907,             0.87679,             0.91422,              0.9417,             0.71806,            0.010517,           0.0029863,            0.005983,           0.0094555,           0.0094555,           0.0094555
                  57,             0.02208,            0.011378,            0.027212,             0.92055,             0.92628,              0.9543,             0.73878,            0.010545,           0.0031068,           0.0046319,           0.0094456,           0.0094456,           0.0094456
                  58,            0.022399,            0.011551,            0.026644,             0.91888,             0.93296,             0.95866,             0.75217,            0.010267,           0.0028935,           0.0060781,           0.0094357,           0.0094357,           0.0094357
                  59,            0.020968,            0.011113,            0.025824,             0.90932,             0.91339,             0.95189,             0.73248,            0.010194,           0.0029969,           0.0044423,           0.0094258,           0.0094258,           0.0094258
                  60,            0.021303,            0.011514,            0.026689,              0.8836,             0.89557,             0.93501,             0.70896,             0.01073,           0.0032251,           0.0059618,           0.0094159,           0.0094159,           0.0094159
                  61,            0.021311,            0.011306,              0.0262,             0.91221,             0.90073,             0.96071,              0.7477,            0.010341,           0.0030544,           0.0041272,            0.009406,            0.009406,            0.009406
                  62,            0.020916,            0.011392,            0.027218,             0.93944,             0.93002,             0.96629,             0.74237,            0.010045,           0.0029575,           0.0042512,           0.0093961,           0.0093961,           0.0093961
                  63,            0.021271,            0.011217,            0.027988,             0.90738,             0.92833,             0.95708,             0.74365,           0.0096988,           0.0030398,           0.0039489,           0.0093862,           0.0093862,           0.0093862
                  64,            0.021314,            0.011159,            0.027448,             0.92528,             0.92402,             0.96206,             0.73594,            0.010526,           0.0030727,           0.0045808,           0.0093763,           0.0093763,           0.0093763
                  65,             0.02052,            0.011291,            0.025552,             0.93077,             0.95286,             0.96749,              0.7466,           0.0095298,           0.0029662,           0.0033378,           0.0093664,           0.0093664,           0.0093664
                  66,            0.020497,            0.011205,            0.025118,             0.93155,             0.93636,             0.96605,             0.73545,            0.010497,           0.0030443,           0.0047662,           0.0093565,           0.0093565,           0.0093565
                  67,            0.021398,            0.011196,            0.027671,             0.92794,             0.94184,              0.9654,             0.75304,           0.0098422,           0.0030116,           0.0035821,           0.0093466,           0.0093466,           0.0093466
                  68,            0.022741,            0.011142,            0.026355,             0.92382,             0.92763,              0.9621,              0.7498,            0.009948,             0.00294,           0.0037386,           0.0093367,           0.0093367,           0.0093367
                  69,            0.021425,            0.011311,            0.027394,             0.93358,             0.90745,             0.96384,             0.75576,            0.010473,           0.0030024,           0.0040609,           0.0093268,           0.0093268,           0.0093268
                  70,            0.019736,            0.011412,            0.025294,             0.93517,             0.93626,             0.96897,             0.74609,            0.010106,           0.0030645,           0.0028723,           0.0093169,           0.0093169,           0.0093169
                  71,            0.019533,            0.011136,            0.024041,             0.90547,             0.93638,             0.96289,             0.75971,           0.0097563,           0.0029327,           0.0033412,            0.009307,            0.009307,            0.009307
                  72,            0.021808,            0.011129,             0.02687,             0.92468,             0.94331,             0.96511,             0.76156,           0.0094708,           0.0029358,           0.0035848,           0.0092971,           0.0092971,           0.0092971
                  73,            0.020332,            0.011132,            0.024519,             0.95097,             0.94095,             0.97331,             0.77037,            0.010301,           0.0028399,           0.0033355,           0.0092872,           0.0092872,           0.0092872
                  74,            0.019869,            0.011006,            0.024273,             0.93078,             0.94383,             0.97153,              0.7543,           0.0097113,           0.0029612,           0.0031558,           0.0092773,           0.0092773,           0.0092773
                  75,            0.021354,            0.011548,            0.025774,             0.92484,             0.93079,               0.967,             0.75919,           0.0096994,           0.0029835,            0.005307,           0.0092674,           0.0092674,           0.0092674
                  76,            0.021345,            0.011156,             0.02552,             0.91979,             0.95334,             0.96909,             0.75416,            0.010017,           0.0029926,           0.0035261,           0.0092575,           0.0092575,           0.0092575
                  77,             0.02011,            0.011071,            0.023361,             0.93489,             0.93275,             0.96274,             0.74921,            0.009672,           0.0030664,           0.0039746,           0.0092476,           0.0092476,           0.0092476
                  78,            0.021279,            0.011027,            0.025646,             0.92572,             0.92054,             0.94883,             0.74322,           0.0094293,           0.0030051,           0.0062658,           0.0092377,           0.0092377,           0.0092377
                  79,            0.020169,            0.010937,            0.023829,             0.94862,             0.92362,             0.97224,             0.76585,            0.009426,           0.0029914,           0.0031014,           0.0092278,           0.0092278,           0.0092278
                  80,            0.019268,            0.010739,            0.022213,             0.94416,             0.93538,             0.96816,             0.76536,           0.0092751,           0.0029165,           0.0030534,           0.0092179,           0.0092179,           0.0092179
                  81,            0.021003,            0.011095,            0.024716,             0.92796,             0.94045,             0.97061,             0.74737,           0.0099607,           0.0030551,           0.0034393,            0.009208,            0.009208,            0.009208
                  82,             0.02123,            0.011176,            0.024251,             0.95899,             0.94682,             0.98174,             0.77134,           0.0089146,           0.0028599,           0.0027888,           0.0091981,           0.0091981,           0.0091981
                  83,            0.020323,            0.011151,            0.023703,             0.93462,             0.95771,             0.97863,             0.76943,           0.0093073,            0.002863,           0.0034178,           0.0091882,           0.0091882,           0.0091882
                  84,            0.019119,            0.011093,            0.022651,              0.9441,             0.94064,             0.97404,             0.77126,           0.0093925,           0.0029517,           0.0025087,           0.0091783,           0.0091783,           0.0091783
                  85,             0.01888,            0.010998,             0.02307,             0.95024,             0.96031,             0.98221,              0.7821,           0.0090327,           0.0028476,           0.0026043,           0.0091684,           0.0091684,           0.0091684
                  86,            0.020299,            0.011183,            0.024813,             0.93871,             0.95035,             0.97496,             0.76727,           0.0093707,           0.0029998,           0.0027054,           0.0091585,           0.0091585,           0.0091585
                  87,            0.020868,            0.011133,            0.025204,             0.93409,             0.94175,             0.96811,             0.77462,           0.0086144,           0.0028726,           0.0029019,           0.0091486,           0.0091486,           0.0091486
                  88,            0.021039,            0.011039,            0.024452,             0.95305,             0.96631,              0.9812,             0.77726,           0.0093346,           0.0029035,           0.0024826,           0.0091387,           0.0091387,           0.0091387
                  89,            0.020056,            0.010919,            0.024026,             0.94173,             0.94822,             0.97902,              0.7843,           0.0096854,           0.0028588,           0.0025429,           0.0091288,           0.0091288,           0.0091288
                  90,            0.020578,            0.011275,            0.025458,             0.94877,              0.9409,             0.97822,             0.77611,           0.0096137,           0.0028015,           0.0027084,           0.0091189,           0.0091189,           0.0091189
                  91,            0.020014,            0.010985,            0.023248,             0.95891,             0.95873,             0.98138,             0.77735,           0.0099937,           0.0029043,           0.0021202,            0.009109,            0.009109,            0.009109
                  92,             0.01988,            0.011159,            0.023023,             0.95318,             0.96031,             0.97893,             0.77236,           0.0092882,           0.0028982,           0.0032306,           0.0090991,           0.0090991,           0.0090991
                  93,            0.019905,            0.010904,            0.021953,             0.96697,             0.96942,             0.98432,             0.79314,            0.009036,           0.0027925,           0.0025592,           0.0090892,           0.0090892,           0.0090892
                  94,            0.019893,            0.010855,            0.023178,             0.96957,             0.97435,             0.98415,             0.78517,           0.0089525,           0.0028375,           0.0017056,           0.0090793,           0.0090793,           0.0090793
                  95,            0.020344,            0.010709,            0.022138,             0.93185,             0.97527,             0.98136,             0.77818,           0.0089721,           0.0028931,           0.0020551,           0.0090694,           0.0090694,           0.0090694
                  96,            0.020529,            0.010645,            0.022451,             0.96277,             0.97249,              0.9887,             0.78492,            0.009449,           0.0028802,            0.002688,           0.0090595,           0.0090595,           0.0090595
                  97,            0.019773,            0.010848,            0.023434,             0.96991,             0.95803,             0.98622,             0.78451,           0.0095039,           0.0029111,           0.0019299,           0.0090496,           0.0090496,           0.0090496
                  98,               0.019,            0.010648,            0.021397,              0.9603,             0.96309,             0.98299,             0.79265,            0.008979,           0.0028177,           0.0016989,           0.0090397,           0.0090397,           0.0090397
                  99,            0.019931,            0.010705,            0.020843,              0.9644,             0.97028,             0.99172,             0.79783,           0.0088922,           0.0027596,           0.0016423,           0.0090298,           0.0090298,           0.0090298
                 100,            0.019352,            0.010678,            0.022378,             0.95551,             0.96249,             0.98193,             0.77036,           0.0090184,           0.0028372,           0.0019403,           0.0090199,           0.0090199,           0.0090199
                 101,            0.020301,            0.010871,            0.021268,             0.95451,             0.97572,             0.98698,             0.78256,           0.0087457,           0.0027627,           0.0016705,             0.00901,             0.00901,             0.00901
                 102,             0.01968,            0.010994,            0.023739,             0.94035,             0.96814,             0.98371,             0.78934,           0.0087895,           0.0028596,           0.0019463,           0.0090001,           0.0090001,           0.0090001
                 103,            0.020589,            0.010843,            0.023328,             0.95655,               0.975,             0.98902,             0.78874,           0.0089779,           0.0027202,           0.0017119,           0.0089902,           0.0089902,           0.0089902
                 104,            0.020022,            0.010961,            0.022284,             0.96523,             0.96942,             0.98797,             0.78694,           0.0090277,           0.0027939,           0.0017112,           0.0089803,           0.0089803,           0.0089803
                 105,            0.019563,            0.010751,            0.020574,             0.96367,             0.97336,             0.98858,             0.79119,           0.0096191,           0.0028136,           0.0014871,           0.0089704,           0.0089704,           0.0089704
